# ==============================================================================
# SYNTHETIC / DEMO DATASET — COLD-START TRAINING FOR PHASE 8 ML DEMONSTRATION
# LABEL: DEMO / SYNTHETIC DATA — NOT REAL CUSTOMER OR WORKER PII
# Features: Dispatch-time attributes (Zero Target Leakage)
# Targets: target_assigned (0/1), target_accepted (0/1), target_completed (0/1), target_duration_mins
# ==============================================================================
booking_id,worker_id,skill_match_score,certification_valid,distance_km,worker_rating,is_cooperative,monthly_jobs,active_workload,time_of_day_hour,day_of_week,is_emergency,base_fare_inr,target_assigned,target_accepted,target_completed,target_duration_mins
bk_demo_01,wrk_1,1.0,1,2.5,4.9,1,8,0,10,0,0,350.0,1,1,1,75.0
bk_demo_02,wrk_2,1.0,1,3.2,4.8,1,5,0,11,0,0,380.0,1,1,1,60.0
bk_demo_03,wrk_3,1.0,1,5.1,4.7,1,12,1,14,1,0,400.0,1,1,1,120.0
bk_demo_04,wrk_ind_1,0.85,0,4.0,4.6,0,6,0,16,1,0,450.0,1,1,1,90.0
bk_demo_05,wrk_1,1.0,1,1.8,4.9,1,9,0,9,2,1,500.0,1,1,1,45.0
bk_demo_06,wrk_2,0.85,1,7.2,4.8,1,6,1,15,2,0,380.0,1,1,1,85.0
bk_demo_07,wrk_3,0.0,1,12.0,4.7,1,13,2,18,3,0,400.0,1,0,0,0.0
bk_demo_08,wrk_ind_1,1.0,0,2.0,4.6,0,7,0,12,3,0,450.0,1,1,1,110.0
bk_demo_09,wrk_1,1.0,1,3.0,4.9,1,10,0,10,4,0,350.0,1,1,1,70.0
bk_demo_10,wrk_2,1.0,1,4.5,4.8,1,7,0,14,4,0,380.0,1,1,1,65.0
bk_demo_11,wrk_3,1.0,1,3.8,4.7,1,14,0,11,5,0,400.0,1,1,1,95.0
bk_demo_12,wrk_ind_1,0.0,0,15.0,4.6,0,8,2,20,5,1,600.0,1,0,0,0.0
bk_demo_13,wrk_1,1.0,1,1.2,4.9,1,11,0,8,6,1,500.0,1,1,1,40.0
bk_demo_14,wrk_2,1.0,1,2.8,4.8,1,8,0,13,6,0,380.0,1,1,1,75.0
bk_demo_15,wrk_3,0.85,1,6.0,4.7,1,15,1,16,6,0,400.0,1,1,1,130.0
bk_demo_16,wrk_ind_1,1.0,0,3.5,4.6,0,9,0,11,0,0,450.0,1,1,1,80.0
bk_demo_17,wrk_1,1.0,1,4.0,4.9,1,12,0,14,1,0,350.0,1,1,1,65.0
bk_demo_18,wrk_2,0.0,1,18.0,4.8,1,9,2,19,1,0,380.0,1,0,0,0.0
bk_demo_19,wrk_3,1.0,1,2.1,4.7,1,16,0,10,2,0,400.0,1,1,1,100.0
bk_demo_20,wrk_ind_1,1.0,0,5.0,4.6,0,10,1,15,3,0,450.0,1,1,1,90.0
